Plasmid,Concentration,Replicate,mCherry,GFP
pLac,0.001,2,2.4787538956328543,2.06219383477272
pLac,0.001,2,1.066679632419684,2.8093630949531683
pLac,0.001,2,2.109855276263711,2.1093675642266776
pLac,0.001,2,1.509245546706329,2.565312505268162
pLac,0.001,2,2.3717078795570323,2.173267412777029
pLac,0.001,2,1.9043400847766208,2.6340872322391875
pLac,0.001,2,1.8006299324571007,2.3227136330886817
pLac,0.001,2,1.7017287021405445,2.6072667288770224
pLac,0.001,2,1.8780676264577558,2.168655855938792
pLac,0.001,2,2.3110938619982138,2.1448761286155715
pLac,0.001,2,1.4852819830185835,2.161650436763391
pLac,0.001,2,2.148253124102858,2.522360156999019
pLac,0.001,2,2.1217278958849377,2.6072667288770224
pLac,0.001,2,2.111856263694981,2.197834381826666
pLac,0.001,2,1.4511714671198366,2.6332460843535763
pLac,0.001,2,-inf,2.1067229111237817
pLac,0.001,2,0.5797549314805684,2.414037021982208
pLac,0.001,2,2.193661568944468,2.4493000094378625
pLac,0.001,2,2.6073490136396,2.479698277851461
pLac,0.001,2,2.5656277233260707,2.4737776015999446
pLac,0.001,2,2.252637533174395,2.565312505268162
pLac,0.001,2,2.46004241905768,2.975880844752948
pLac,0.001,2,1.888103178884776,2.4260949841356076
pLac,0.001,2,2.1801786140351966,2.668091382024325
pLac,0.001,2,1.60030200651124,2.247264664180092
pLac,0.001,2,1.7924972645899555,2.5797277025992016
pLac,0.001,2,1.4769972938969185,2.300657636555019
pLac,0.001,2,1.209738597916355,2.716201472868183
pLac,0.001,2,1.7583867486912086,2.314355550571156
pLac,0.001,2,1.3177162811844934,1.1604680528189677
pLac,0.001,2,1.6189012933635818,2.6448841078681053
pLac,0.001,2,2.348915301922184,2.837180462788268
pLac,0.001,2,1.8086160577660557,2.4002568258815487
pLac,0.001,2,1.9351314883548318,2.233389212516895
pLac,0.001,2,2.1078452140284725,2.8920636934592183
pLac,0.001,2,1.969462291516169,2.7660890128554154
pLac,0.001,2,1.7402937074258396,2.4543011057371644
pLac,0.001,2,1.5605842880580958,2.7238665052869133
pLac,0.001,2,1.5874542094598512,2.5554444681003576
pLac,0.001,2,1.125863144283096,1.5462580877787888
pLac,0.001,2,2.269741313164561,2.490166702469143
pLac,0.001,2,1.7448866807888963,2.484380420959063
pLac,0.001,2,2.2994804998745093,2.4867036970268606
pLac,0.001,2,2.399687233235708,2.643239496633963
pLac,0.001,2,1.860819614930172,2.908990261843996
pLac,0.001,2,1.916914487373032,2.6108168126836935
pLac,0.001,2,2.305969897840596,2.0225346215036017
pLac,0.001,2,1.7714877408155836,2.43784417338834
pLac,0.001,2,2.0358139051136708,2.43784417338834
pLac,0.001,2,2.3346550489327598,2.4701881748748407
pLac,0.001,2,2.358173455004712,2.37730974228694
pLac,0.001,2,1.5245304394234362,2.2149096932571144
pLac,0.001,2,1.8572879790077648,2.111997061641207
pLac,0.001,2,2.1662725961153053,2.3547019164106344
pLac,0.001,2,1.6249315627558651,2.4701881748748407
pLac,0.001,2,1.907517288082612,2.390358376382792
pLac,0.001,2,1.6482642110869556,2.2883270584642634
pLac,0.001,2,1.8501391472009927,2.679649828024094
pLac,0.001,2,2.5033598708094944,2.8190114191861304
pLac,0.001,2,1.796582251693153,1.811945489591206
pLac,0.001,2,1.6308808864875806,2.826807534648593
pLac,0.001,2,1.7402937074258396,2.76292672574816
pLac,0.001,2,1.8203317521247653,2.129993330679276
pLac,0.001,2,1.593924659604581,2.581615960585435
pLac,0.001,2,1.6649914023863277,2.484380420959063
pLac,0.001,2,1.8847831786179168,2.708406217470861
pLac,0.001,2,2.026230440654211,2.041265632160801
pLac,0.001,2,1.4330784258544678,1.9648915307046395
pLac,0.001,2,1.7583867486912086,2.5071002123914514
pLac,0.001,2,1.7714877408155836,2.4785202385827976
pLac,0.001,2,1.468554791719212,2.2511532132416754
pLac,0.001,2,2.1573544287723645,2.173267412777029
pLac,0.001,2,1.762796914065199,2.474967864376604
pLac,0.001,2,1.60030200651124,2.436553466368199
pLac,0.001,2,2.269741313164561,2.465358171927692
pLac,0.001,2,1.4599483472562231,2.4737776015999446
pLac,0.001,2,2.343029186685043,2.2170001116476983
pLac,0.001,2,1.9935707213477791,2.8915844808380067
pLac,0.001,2,1.1780667014472117,2.5048781933125013
pLac,0.001,2,2.031048074643793,2.3243671341324683
pLac,0.001,2,2.6671033149743124,2.195654586548528
pLac,0.001,2,1.2930867249398683,2.1146115760831767
pLac,0.001,2,2.3211674311480963,2.345337386418453
pLac,0.001,2,1.6127878452222115,2.6238902338601817
pLac,0.001,2,1.6811101955624277,2.152140333786772
pLac,0.001,2,1.6594855183746522,2.4981468347951536
pLac,0.001,2,2.1197710805067653,2.60548133346058
pLac,0.001,2,1.6539103761452865,2.43784417338834
pLac,0.001,2,2.335861084950953,2.149731687609574
pLac,0.001,2,1.7067368680053523,2.761655683264749
pLac,0.001,2,1.4599483472562231,2.9798535625835663
pLac,0.001,2,1.6189012933635818,2.4480411717673456
